Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Change from Open,Gap,buffett_class,buffett_binary
CTSH,,,,,39080000000.0,16.69,79.28,-0.0078,1049704.0,14.61,2.23,1.95,2.62,19.62,18.32,0.0677,0.0702,0.065,0.075,0.0339,0.0158,0.1227999999999999,0.1661,0.1483,2.22,2.22,0.07,0.08,0.3151,0.1533,0.1173,,0.97,1.77,0.0089,0.0476999999999999,0.0148,-0.1267,0.2433,55.91,0.0049,-0.0123,0,0
CTVA,,,,,47100000000.0,42.09,69.04,0.0066,719296.0,19.67,2.63,2.8,1.94,20.51,22.4,0.1606,0.1769,,0.1603,0.0423,0.0102,0.0266,0.0466,0.0437,1.44,1.0,0.07,0.17,0.4088,0.1346,0.0677,,0.74,1.35,0.0484999999999999,0.1017,0.1516,-0.0055,0.3804999999999999,73.61,0.0092,-0.0026,0,0
CVE,,,,,24640000000.0,12.63,13.51,0.0143,7007552.0,12.37,0.63,0.63,1.19,12.81,10.01,-0.1328,0.07,-0.0185,0.1989,0.4985,0.0416,0.051,0.095,0.0725,1.46,0.84,0.33,0.36,0.0955,0.0818,0.0516,,0.95,0.5,0.0508,0.0554,-0.1124,-0.3593,0.3201,58.88,0.027,-0.0128,0,0
CVNA,,,,,65599999999.99999,107.25,306.35,0.0136,1279646.0,52.29,1.94,4.42,27.35,27.55,69.07,1.4766,0.2276999999999999,,0.5512,0.3669,,0.0501999999999999,0.4439,0.0555,3.81,2.7,3.77,4.11,0.2055,0.085,0.0268,,3.63,14.92,0.1022,0.3196,0.4342,-0.0187999999999999,2.137,67.07,0.0286,-0.0157,0,0
CVS,,,,,76280000000.0,14.4,60.3,0.0013,3668936.0,8.55,1.05,0.2,0.99,6.0,12.85,0.1284,0.1542,-0.0637,0.1379,0.0779,0.0385,0.0209,0.07,0.0351,0.82,0.63,0.96,1.06,0.1402,0.0305,0.0139,,0.55,2.07,-0.0613,-0.086,0.0165,-0.1676,0.3857,37.61,-0.0043,0.0066,0,0
CVX,,,,,237500000000.0,15.59,135.99,0.0052,3433919.0,14.15,2.12,1.23,1.59,47.81,16.96,-0.2262,0.2361,0.445,0.0733999999999999,0.1314,0.0503,0.0605,0.1011,0.0896,1.08,0.82,0.17,0.2,0.1411,0.089,0.0810999999999999,,0.8,3.15,-0.016,-0.0669,-0.0928,-0.1946999999999999,0.0304,41.04,0.0124,-0.0067,3,1
CX,,,,,10820000000.0,7.41,7.16,0.0220999999999999,9438645.0,9.71,0.6,0.67,0.8,9.16,16.42,0.3134,-0.0814,0.6047,0.1227999999999999,0.0445,0.0186,0.0287,0.0658,0.0906,0.85,0.6,0.21,0.23,0.316,0.1085,0.0883999999999999,,1.42,0.21,0.0899,0.1921999999999999,0.2016,-0.0745,0.4629999999999999,77.78,0.0383,-0.0157,0,0
D,,,,,47940000000.0,21.09,56.22,0.01,3033607.0,15.72,1.86,3.22,1.82,100.48,,0.2234,0.0553,0.0801,0.1132,0.0021,0.0475,0.0218,0.0822,0.0334,0.73,0.53,1.46,1.61,0.5813,0.2880999999999999,0.1509,,0.55,1.37,0.0192,0.0345,0.0066,-0.0933,0.1709,56.39,0.0034,0.0060999999999999,0,0
DAL,,,,,31440000000.0,8.54,48.15,-0.0073,4021644.0,7.15,1.08,0.51,2.03,8.25,11.1,-0.1213,0.2407,-0.0608,0.079,0.2028,0.0112,0.0481,0.2752,0.1075,0.38,0.33,1.2,1.44,0.1777,0.0960999999999999,0.0591,,1.51,2.05,0.0163,0.0762,-0.0975999999999999,-0.3132,0.3836,53.02,0.0208,-0.0293,0,0
DASH,,,,,87260000000.0,269.26,205.93,0.0252,1831032.0,57.41,1.66,7.75,10.38,14.48,48.17,6.4742,0.6524,,1.6209,0.7709999999999999,,0.0271,0.0441,0.0383,1.7,1.7,0.05,0.06,0.4411,0.018,0.0302,,1.66,7.89,0.0501999999999999,0.092,0.2138,-0.0444,1.0709,60.58,0.0403,-0.0157,0,0
DB,,,,,53170000000.0,11.57,27.38,-0.0379,3030159.0,7.66,0.87,0.76,0.74,,,0.1878,0.1104,,0.1326999999999999,0.1344,0.0414,0.0032,0.0668,0.0225,5.35,,1.94,2.23,,0.1156,0.0686,,0.99,0.63,0.0018,0.0919,0.3936,-0.0579999999999999,0.9985,57.07,0.0081,-0.0457,0,0
DD,,,,,28230000000.0,,67.45,-0.0081999999999999,697813.0,14.34,,2.25,1.24,15.97,25.31,0.053,0.0974,0.2019999999999999,0.0895,-0.0935,0.024,0.0004,0.0006,-0.0026,1.4,0.91,0.25,0.33,0.3233,0.1572,-0.006,,1.05,2.0,0.0003,-0.0058,-0.1333,-0.2516,0.2535,49.92,0.0093999999999999,-0.0182,0,0
DDOG,,,,,39720000000.0,249.18,115.02,-0.0056,1315148.0,55.29,16.22,13.99,13.58,8.91,44.05,-0.0642,0.2198,,0.1534,0.5057,,0.0327,0.0648,0.0401999999999999,2.71,2.71,0.41,0.64,0.8011,0.0105,0.0584999999999999,,1.0,3.56,0.0378,0.1142,-0.0648,-0.3245,0.4074,61.15,0.0113,-0.0178,0,0
DE,,,,,138880000000.0,24.75,511.69,-0.0077,394024.0,23.11,36.37,3.04,6.17,14.98,32.03,-0.2656,0.176,0.2035,0.0068,0.0691,0.0118,0.0533,0.2407,0.0842,0.73,0.52,1.76,2.73,0.4417999999999999,0.2245,0.124,,1.11,12.96,0.0334,0.0764,0.1667,-0.0421,0.5029,60.57,0.0007,-0.0091,0,0
DECK,,,,,15550000000.0,16.17,102.44,-0.1875,13954154.0,15.09,2.21,3.11,5.88,8.2,15.42,-0.0338,0.1049,0.316,0.0729,0.1916,,0.2854,0.4182,0.3532,3.72,3.07,0.09,0.11,0.5787,0.2362999999999999,0.1938,,1.09,6.8,-0.1524,-0.1134,-0.3514,-0.5443,0.089,34.21,0.0384,-0.2205,0,0
DELL,,,,,76590000000.0,18.02,112.07,0.001,2194805.0,10.73,1.56,0.8,,20.4,41.0,0.1399,0.1261999999999999,0.0111,0.1156,0.0127,0.0184,0.0553,,0.2429,0.69,0.55,,,0.218,0.0699,0.0467999999999999,,1.0,3.95,0.0913,0.1857,0.013,-0.3761,0.6923999999999999,70.17,0.0222,-0.0204,0,0
DEO,,,,,60780000000.0,16.94,109.4,-0.0131,590361.0,16.19,120.99,3.01,5.9,30.44,22.31,-0.1027,0.0506,0.005,0.0014,0.0466,0.0375999999999999,0.0768,0.3583,0.1219,1.6,0.67,1.87,2.11,0.6045,0.2874,0.1779,,0.59,1.99,-0.0344,-0.0033,-0.0932,-0.2337,0.0859,40.56,0.0097,-0.0229,0,0
DFS,,,,,50340000000.0,10.69,200.05,0.0,0.0,12.34,16.97,2.14,2.81,,5.96,-0.1725,0.1057,0.1427999999999999,0.0063,0.121,0.0139999999999999,0.0317,0.2829,0.1617,0.49,,0.53,0.77,,0.2717,0.1997,,1.14,7.22,0.0608,0.1607,0.2102,-0.0355,0.6678000000000001,65.08,0.0,0.0,0,0
DG,,,,,22400000000.0,19.92,101.85,0.012,919552.0,16.39,3.36,0.55,3.01,23.96,13.25,-0.0533999999999999,0.1064,-0.0508,0.0591,0.0816,0.0237,0.0347,0.1589,0.0491,1.19,0.21,2.09,2.36,0.272,0.0421999999999999,0.0277,,0.27,2.88,0.0825,0.1236999999999999,0.2027,-0.304,0.529,66.88,0.0069,0.0024,0,0
DGX,,,,,19050000000.0,21.57,170.64,0.006,476772.0,16.23,2.61,1.88,2.76,101.34,18.04,0.0865,0.0836,0.0404,0.0827,0.0567999999999999,0.0178,0.06,0.1335,0.0669,1.44,1.31,0.92,0.95,0.3171,0.1438,0.0877999999999999,,0.49,3.81,-0.0292,-0.0014,0.0613999999999999,-0.0518,0.2598,44.18,0.0036,0.0025,0,0
DHI,,,,,36390000000.0,8.96,118.48,-0.0034999999999999,1114726.0,9.57,12.62,1.03,1.5,14.45,13.33,-0.1998,0.0785,0.2731,0.0070999999999999,0.1649,0.0134,0.1225,0.1783,0.1402999999999999,10.39,1.07,0.26,0.27,0.255,0.157,0.1215,,1.39,3.41,-0.0418,-0.0472,-0.2221,-0.407,0.0731,40.19,0.0046,-0.0078,0,0
DHR,,,,,132380000000.0,35.86,184.98,-0.0133,1537075.0,21.56,4.35,5.55,2.6,66.36,26.98,0.0289999999999999,0.1134,0.0902999999999999,0.0824,0.0733,0.0066,0.0463,0.0722,0.0562999999999999,1.43,1.05,0.31,0.35,0.598,0.2167,0.1581,,0.78,6.63,-0.0478,-0.0605999999999999,-0.2037999999999999,-0.3440999999999999,0.0805,41.6,0.0022,-0.0166,0,0
DIS,,,,,197910000000.0,22.49,110.09,-0.0093999999999999,3727109.0,17.39,1.75,2.11,1.9,33.82,18.16,0.1607,0.0972,-0.1636,0.1284,0.0594,0.0076,0.0455999999999999,0.0875,0.0633,0.64,0.58,0.35,0.41,0.3137999999999999,0.1418,0.0951999999999999,,1.53,2.76,0.064,0.1388,0.0881,-0.0717,0.3749,66.83,0.0058,-0.0148,0,0
DKNG,,,,,31120000000.0,,34.99,0.0034,3308350.0,24.14,,6.22,19.89,27.37,86.56,1.3463999999999998,2.9843,-0.0636,,0.7349,,-0.0959,-0.4678,-0.1433,1.2,1.2,2.19,2.2,0.3833,-0.0947,-0.0797,,1.63,1.45,-0.011,-0.0087,-0.089,-0.3475999999999999,0.2191,46.69,0.02,-0.0166,0,0
DKS,,,,,13510000000.0,12.01,168.75,-0.0212,962721.0,11.13,2.47,1.0,4.23,7.98,26.49,0.0088,0.0682,0.3329,0.0486,0.0938,0.0287,0.1082,0.4008,0.1621999999999999,1.76,0.67,1.25,1.4,0.359,0.1139,0.0867,,1.09,9.17,-0.1076999999999999,-0.1171,-0.2024,-0.3379999999999999,0.013,36.64,0.0053,-0.0276,0,0
DLR,,,,,56790000000.0,156.75,168.62,0.004,555122.0,105.15,18.24,10.09,2.76,24.47,,-0.1128999999999999,0.1234,-0.0728,0.086,0.1184,0.0289999999999999,0.0098,0.0214,0.0101,,,0.81,0.86,0.2337,0.1441,0.0693,,0.97,3.61,0.016,0.0898,0.0253,-0.1479,0.2983,64.68,0.0072,-0.0026,0,0
DLTR,,,,,18660000000.0,,88.81,-0.0129,1007756.0,14.74,,0.68,4.79,14.83,11.92,0.0344,0.1399,,0.0955,-0.0343,,0.0524,0.1888,-0.3077,1.06,0.75,1.48,1.97,0.3458,0.0541,-0.1099,,0.84,2.87,0.0366,0.1411,0.1921,-0.2731,0.4652,62.15,0.0032,-0.018,0,0
DOC,,,,,11920000000.0,42.28,16.77,-0.0027,2232304.0,53.03,,4.27,1.43,86.12,10.86,-0.3197,0.2933,0.5284,-0.0101,0.1725,0.0733,0.0138,0.0326,0.0163999999999999,,,1.07,1.12,0.2095,0.1751,0.0994999999999999,,1.03,0.42,-0.0363,-0.0960999999999999,-0.1844,-0.2739999999999999,0.0096,33.39,0.0009,-0.0024,0,0
DOCU,,,,,17280000000.0,16.69,85.35,-0.0137,601969.0,22.19,2.32,5.8,8.62,17.89,18.75,-0.0174,0.1007,,0.0718,0.2623,,0.3057999999999999,0.6818000000000001,0.5065999999999999,0.79,0.79,0.05,0.06,0.787,0.0771,0.3586999999999999,,1.14,2.99,-0.0040999999999999,0.0353,0.0916,-0.2094,0.7509999999999999,50.89,0.0091,-0.0233,0,0
DOV,,,,,24360000000.0,10.7,177.68,-0.0121,458237.0,17.37,1.09,3.06,3.41,13.49,42.95,0.1261999999999999,0.0953999999999999,0.3335,0.0983,0.0214,0.0118,0.0871,0.1745,0.2364,2.13,1.56,0.36,0.42,0.3901,0.1707,0.2885,,1.28,4.33,0.0001,0.0254,-0.0524,-0.2007999999999999,0.242,50.93,0.0046,-0.0167,0,0
DOW,,,,,19950000000.0,70.52,28.22,-0.0158,3731762.0,19.99,13.73,0.47,1.19,10.55,,-0.7014,1.7718,,0.0515,0.0212,0.0988,0.0048,0.016,0.0083,1.54,0.9,1.01,1.07,0.0891,0.0349,0.0066,,0.91,1.07,-0.0489,-0.0904,-0.3273,-0.5155,0.1285,38.3,0.006,-0.0195,0,0
DRI,,,,,23860000000.0,23.01,203.91,0.0001,339718.0,18.97,2.53,2.03,10.83,99.88,23.17,0.0694,0.1309,0.0838,0.0908,0.0705,0.0277,0.0883999999999999,0.4821999999999999,0.108,0.39,0.24,3.43,3.56,0.1732,0.1175,0.0896,,0.73,4.31,0.0027,0.0161,0.135,-0.0382,0.4993999999999999,51.61,0.0056999999999999,-0.0064,0,0
DT,,,,,16010000000.000002,33.53,53.49,-0.0129,891765.0,29.68,2.28,9.42,6.11,14.37,36.93,0.1399,0.1366,,0.1469,0.2557999999999999,,0.1281,0.2086,0.1803,1.32,1.32,0.02,0.03,0.8035,0.1056,0.2847,,0.91,1.38,0.0641,0.1176,0.0202,-0.1513,0.3605,68.75,-0.001,-0.0124,0,0
DTE,,,,,28230000000.0,18.37,136.03,0.0105,304842.0,17.6,2.8,2.12,2.37,314.07,,0.0556,0.0735,0.0141999999999999,0.0655999999999999,0.0271,0.0324,0.0321,0.1328,0.0453,0.87,0.59,1.84,1.97,0.1737999999999999,0.136,0.1151,,0.47,2.78,0.0001,0.008,0.0728,-0.03,0.2562,51.76,0.0028,0.0088,0,0
DTM,,,,,10570000000.0,28.45,104.04,0.0191,205784.0,21.68,2.1,10.12,2.28,127.3,11.64,0.2051,0.1055,0.0279999999999999,0.1357,0.0689,0.0317,0.0387,0.0828999999999999,0.0455999999999999,0.82,0.82,0.72,0.74,0.5307,0.4914,0.3496,,0.8,2.79,0.0250999999999999,0.0605,0.1101999999999999,-0.0926,0.588,60.12,0.0217,-0.0039,0,0
DUK,,,,,90260000000.0,19.37,116.12,0.0048,1123167.0,17.28,2.9,2.92,1.82,175.61,,0.0724,0.062,0.0225,0.0667,0.0412999999999999,0.0369,0.026,0.0948,0.0353,0.77,0.5,1.59,1.73,0.3178,0.2689999999999999,0.15,,0.36,2.27,-0.0197999999999999,-0.0252,0.0111,-0.0728,0.1707,44.26,-0.0049,0.01,0,0
DUOL,,,,,23730000000.0,260.73,522.04,0.0081999999999999,258006.0,117.27,5.14,29.17,26.45,23.68,80.04,0.5886,0.4861,,0.5055,0.6311,,0.0783,0.1206,0.102,2.68,2.68,0.06,0.06,0.7155,0.0873,0.1193,,0.98,20.29,0.065,0.3393,0.6025,-0.0433,2.5943,71.87,0.0177,-0.0106,0,0
DVN,,,,,19930000000.0,7.06,31.03,-0.0034,3207361.0,7.33,1.87,1.2,1.37,16.14,,-0.1979,0.0942,,0.0377,0.4161999999999999,0.033,0.0998,0.2087999999999999,0.1211999999999999,1.08,0.99,0.58,0.62,0.2797,0.2485,0.1686,,1.08,1.12,-0.0275,-0.0451,-0.1534,-0.367,0.1998,44.04,0.0131,-0.0154,0,0
DXCM,,,,,33240000000.000004,63.63,84.76,-0.0008,789793.0,33.38,2.67,8.01,14.65,12.29,57.73,0.2345,0.2531,0.3906,0.2379,0.2246,,0.0809,0.2372,0.1478,1.5,1.32,0.6,1.14,0.5943,0.1525,0.129,,1.45,2.58,0.0348,0.1463,0.1182,-0.3485,0.472,62.4,0.0087,-0.0105,0,0
EA,,,,,36930000000.0,34.76,147.27,0.0044,921350.0,16.43,2.68,4.96,5.81,16.41,19.86,0.1662,0.1107,-0.1624,0.1297,0.0670999999999999,0.0045,0.0868999999999999,0.1613,0.1378,0.95,0.95,0.27,0.35,0.7851,0.2164,0.1506,,0.73,3.38,-0.0191,0.0105,0.0134,-0.1264,0.2776,47.84,0.0022,0.0016,0,0
EBAY,,,,,33220000000.0,17.23,72.09,-0.0008,1867049.0,12.49,2.08,3.21,6.74,6.27,15.6,0.0935,0.0810999999999999,0.1357,0.0827,0.0418,0.0159,0.1014,0.3647999999999999,0.1853999999999999,1.17,1.17,1.22,1.45,0.7175,0.2453999999999999,0.1971,,1.27,1.82,0.0298,0.0696,0.1159,-0.0123,0.4022,63.24,0.0066,-0.008,0,0
EBR,,,,,14490000000.0,9.65,7.36,0.0014,799755.0,7.74,0.48,1.94,0.83,2.69,6.91,0.2382,0.3806,-0.0209,0.201,0.0089,0.0372,0.0345,0.0858,0.0571,2.29,2.27,0.54,0.64,0.4381,0.3467,0.2367,,0.67,0.2,-0.026,0.0001,0.0868,-0.0619,0.3471,47.15,0.0273,-0.0272,0,0
EC,,,,,17550000000.0,5.17,8.53,0.0077,768003.0,5.58,,0.56,0.95,5.21,2.4,-0.0779,-0.0595,-0.0192,-0.0562999999999999,0.1215,0.1152,0.0464,0.1864,0.0776999999999999,1.33,1.1,1.36,1.53,0.3077,0.2403,0.1075,,0.94,0.28,0.0247,-0.061,-0.0458,-0.3232,0.1817,47.77,0.0143,-0.0083,0,0
ECL,,,,,73880000000.0,35.44,260.57,0.0034999999999999,268694.0,30.84,2.65,4.71,8.32,63.5,49.12,0.1264,0.1272,0.067,0.1336999999999999,0.048,0.01,0.0963,0.2462,0.1277,1.32,0.98,0.86,0.94,0.4371,0.1691,0.1341,,1.04,4.71,0.0227999999999999,0.0487999999999999,0.0449,-0.049,0.1779,61.86,0.004,-0.0016,0,0
ED,,,,,37380000000.0,19.15,103.75,0.0032,573278.0,17.26,3.47,2.37,1.57,103.79,,0.042,0.068,0.0515,0.0552,0.0429,0.033,0.0275,0.0833,0.0387,1.28,1.19,1.05,1.1,0.6369,0.1785,0.1198,,0.26,2.35,-0.0301,-0.0424,0.0269,-0.0973,0.188,42.34,-0.0066,0.0093,0,0
EFX,,,,,32659999999.999996,53.71,262.99,-0.0016,215710.0,28.19,2.9,5.7,6.56,167.32,40.38,0.0397,0.2309,,0.1851,0.1033999999999999,0.0069999999999999,0.0508,0.1283,0.0658,0.85,0.85,0.87,1.0,0.437,0.1923,0.1067999999999999,,1.65,8.37,-0.0165,0.063,-0.0067,-0.1505,0.3153,51.66,0.0103,-0.0116,0,0
EIX,,,,,21750000000.0,8.02,56.54,0.0056999999999999,560331.0,9.22,0.83,1.26,1.45,15.79,,0.2278,0.0135,-0.0253,0.0967,0.0757,0.0582,0.0331,0.1793,0.0515,0.96,0.89,2.19,2.38,0.2504,0.2053,0.1575,,0.79,1.45,0.0017,-0.0073,-0.2022,-0.3629,0.1528,49.09,0.0033,0.0027,0,0
EL,,,,,22760000000.0,,63.26,-0.018,1225089.0,28.76,,1.54,5.24,8.65,24.01,-0.4294,0.4888,-0.2584,0.0317,0.0135,0.026,-0.0409,-0.1727,-0.0654,1.41,1.02,2.07,2.16,0.7376999999999999,0.0807,-0.0591,,1.1,2.51,0.02,0.0333,-0.1614999999999999,-0.5168,0.3087999999999999,53.39,0.0031,-0.0203,0,0
ELS,,,,,12700000000.0,33.92,63.42,0.0004,396477.0,29.88,6.21,8.26,6.93,267.49,33.35,0.0107,0.0712,0.0489,0.0546,0.0841,0.0325,0.0649,0.2287,0.074,,,1.83,1.83,0.3793999999999999,0.3387,0.238,,0.76,1.35,-0.0116,-0.0265,-0.0697,-0.1717,0.0771,44.86,-0.003,0.0032,0,0
ELV,,,,,83920000000.0,14.49,371.43,-0.034,1382884.0,9.47,1.36,0.46,1.97,,22.84,0.0445,0.1371,0.0681,0.1064,0.1125,0.0182,0.0511,0.1424,0.0838,1.43,,0.66,0.71,,0.0482,0.0323,,0.63,15.2,-0.078,-0.1137,-0.1474,-0.3447,0.0399,36.62,-0.035,0.0018,0,0
EMR,,,,,66140000000.0,28.06,117.58,0.002,1352053.0,18.23,3.37,3.76,3.44,35.09,23.97,0.089,0.0802,-0.016,0.0834,0.0018,0.0181,0.0446,0.0982,0.0858,0.8,0.59,0.45,0.78,0.4713,0.1828999999999999,0.1361,,1.26,3.22,0.0366,0.0817,0.0226,-0.127,0.3072,60.98,0.0241,-0.0204999999999999,0,0
ENB,,,,,99960000000.0,23.57,45.85,0.015,1135162.0,20.12,3.25,2.28,2.34,65.04,23.97,0.063,0.0848,-0.0298,0.0725,0.0333,0.0588999999999999,0.0306999999999999,0.0951,0.0368,0.73,0.66,1.42,1.51,0.3393,0.1794,0.0964,,0.74,0.87,0.0021,0.0246,0.077,-0.0256,0.3259,55.57,0.0147,0.0009,0,0
ENTG,,,,,10890000000.0,35.2,71.93,-0.017,1195942.0,19.1,2.52,3.36,2.9,31.95,40.65,-0.0366999999999999,0.3037,0.0066,0.1397,0.1651999999999999,0.0056,0.037,0.0865,0.0398,3.26,1.95,1.08,1.08,0.4025,0.1684,0.0957,,1.28,4.2,-0.0844999999999999,-0.1066,-0.2762,-0.5122,0.1848999999999999,39.59,0.0237,-0.039,0,0
EOG,,,,,60130000000.0,10.22,110.17,-0.0056,976690.0,10.44,5.04,2.56,2.06,9.11,10.91,-0.1873,0.1168,0.1903,0.0203,0.1729,0.0356999999999999,0.1324,0.209,0.1843,1.87,1.71,0.12,0.17,0.4341,0.3519,0.2588,,0.76,3.13,-0.0172,-0.0462,-0.115,-0.2025,0.0749,42.65,0.0081,-0.0134,0,0
EPD,,,,,67989999999.99999,11.78,31.35,-0.0014,1002341.0,10.39,2.19,1.2,2.35,63.52,17.7,0.0458999999999999,0.0707,0.0515,0.0538,0.1505,0.07,0.0789,0.2048999999999999,0.0991,0.86,0.64,1.02,1.11,0.12,0.1158,0.1027,,0.65,0.63,0.004,-0.0135,0.0014,-0.0962,0.1436,48.45,0.0060999999999999,-0.0089,0,0
EQH,,,,,15810000000.0,14.15,52.04,-0.0017,404061.0,6.38,0.8,1.06,17.83,,8.15,0.1186999999999999,0.2282999999999999,,0.1775,0.099,0.0199,0.0045,0.5667,0.1747,5.66,,1.8,1.8,,0.151,0.0785,,1.14,1.58,0.0042,0.0279,0.0907,-0.0709,0.427,52.52,0.0227999999999999,-0.0242,0,0
EQNR,,,,,64970000000.0,7.5,23.76,0.0111,1153935.0,7.68,,0.61,1.41,2.62,8.77,-0.0696,0.0344,0.4131,-0.0004,0.2109,0.0636,0.0637,0.1828,0.1278999999999999,1.37,1.27,0.5,0.65,0.2964,0.2848,0.0821,,0.55,0.57,0.0250999999999999,-0.0044,-0.0081999999999999,-0.1541,0.1107,54.6,0.013,-0.0013,0,0
EQR,,,,,26480000000.0,26.38,67.6,-0.0102,522696.0,50.3,,8.85,2.33,664.95,20.84,-0.4253,-0.1427,0.0169,-0.1726,0.0204,0.0408,0.0493,0.0901,0.0518,,,0.74,0.74,0.3029,0.2858,0.3324,,0.92,1.54,-0.0353,-0.0217,-0.0579999999999999,-0.1388,0.1384999999999999,41.15,-0.005,-0.0046999999999999,0,0
EQT,,,,,33460000000.0,96.38,55.89,0.0036,2517518.0,11.17,2.32,5.28,1.61,118.72,28.18,1.0846,0.491,,0.4154,0.299,0.0113,0.0113,0.0206,0.0128,0.57,0.57,0.39,0.41,0.2788,0.1673,0.0583,,0.65,1.7,0.0319,0.0679,0.248,-0.0272,0.8591,60.86,0.0102,-0.0079,0,0
ERIC,,,,,26590000000.0,187.45,8.66,-0.0125,19688648.0,14.54,,1.13,3.37,5.37,6.52,620.4155000000001,0.046,-0.6152000000000001,,-0.0032,0.0366999999999999,0.0056,0.0167,0.013,1.09,0.88,0.41,0.49,0.4621,0.1067999999999999,0.0067,,0.98,0.18,0.0285,0.0726,0.0914,-0.0361,0.5052,61.02,0.0093,-0.0204999999999999,0,0
ES,,,,,23190000000.0,27.25,63.11,0.0008,510065.0,12.63,5.59,1.83,1.51,208.16,,0.0378,0.0530999999999999,-0.0421,0.0487,0.0733,0.0476999999999999,0.0143,0.0562999999999999,0.0200999999999999,0.75,0.66,1.73,1.92,0.301,0.2196,0.0663,,0.64,1.6,0.0227999999999999,0.0481,0.0187999999999999,-0.0858,0.2067999999999999,56.91,-0.0039,0.0044,0,0
ET,,,,,61530000000.0,13.5,17.93,0.0028,3829882.0,11.5,1.55,0.75,1.96,133.87,10.02,0.1502,0.0573,-0.0073,0.0868999999999999,0.1417,0.0742,0.0404,0.1373,0.0475999999999999,1.12,0.92,1.71,1.72,0.1236999999999999,0.1091,0.0556,,0.75,0.49,0.0327999999999999,0.0195,0.005,-0.1653,0.2264,55.18,0.0093,-0.0078,0,0
ETN,,,,,125780000000.0,32.45,321.44,0.0012,703005.0,23.73,2.77,4.97,6.8,64.88,37.91,0.1125,0.1276,0.1257,0.1169999999999999,0.0363,0.0127,0.1013,0.2084,0.147,1.31,0.84,0.45,0.58,0.3843,0.198,0.1555,,1.15,9.31,0.0288,0.1005,0.0079,-0.1539,0.3867,62.39,0.02,-0.0183,0,0
ETR,,,,,35510000000.0,26.75,82.44,0.0143,569557.0,18.94,2.74,2.99,2.34,23.46,,0.0604,0.1239,-0.0494,0.0975,0.0273,0.031,0.021,0.0896,0.0306999999999999,0.79,0.51,1.83,2.01,0.2927,0.2398999999999999,0.1131,,0.58,1.9,-0.0069,-0.009,0.096,-0.0676,0.5828,48.47,0.0045,0.0093999999999999,0,0
EVRG,,,,,15110000000.0,17.31,65.69,-0.0034999999999999,558620.0,15.36,2.94,2.58,1.52,299.2,,0.0603,0.0581,0.0629,0.0588,0.0276,0.0411,0.0275,0.0895,0.0392,0.55,0.29,1.25,1.45,0.3268,0.25,0.1496,,0.48,1.29,-0.0239,-0.0248,0.0325,-0.0667,0.2603999999999999,43.26,-0.0007,-0.0032,0,0
EW,,,,,43900000000.0,50.0,74.83,0.0005,1921918.0,27.15,5.84,7.92,4.33,11.25,69.26,0.0163,0.1148,-0.0236,0.0855,0.0494,,0.1268,0.1673,0.0822,4.45,3.66,0.07,0.07,0.7859,0.2692,0.1603,,1.11,1.65,-0.0127,0.0272,0.0587,-0.2148,0.2691,49.84,-0.0001,0.0001,0,0
EWBC,,,,,12480000000.0,10.8,90.53,-0.0045,149710.0,9.49,1.36,2.79,1.57,,8.63,0.0626,0.0775,0.1255,0.0791999999999999,0.1944,0.0260999999999999,0.0159,0.1566,0.1013,0.14,,0.46,0.49,,0.335,0.2614,,0.92,2.76,-0.0025,0.0506,-0.0104,-0.2055,0.3261,52.76,0.0200999999999999,-0.0241,0,0
EXAS,,,,,10710000000.0,,56.78,0.0054,1106534.0,144.1,,3.79,4.47,13.63,55.19,0.9225,1.9099,-0.5424,,0.2739,,-0.1687,-0.3689,-0.2082,2.73,2.38,1.04,1.06,0.6957,-0.0675,-0.3606,,0.97,2.24,0.0723,0.1901,0.0112,-0.22,0.4211999999999999,68.92,0.0184,-0.0124,0,0
EXC,,,,,43820000000.0,16.11,43.41,-0.0002,3080149.0,15.39,2.58,1.85,1.59,27.72,,0.0795,0.046,-0.0404,0.0624,-0.0416,0.0373,0.0255,0.1009999999999999,0.037,1.09,0.98,1.66,1.76,0.2646,0.1997,0.1143,,0.38,0.96,-0.0326,-0.0383,0.0613,-0.0969,0.2777,40.43,-0.0103,0.0111,0,0
EXE,,,,,27510000000.0,,115.61,0.0107,528152.0,9.81,,4.21,1.6,64.44,68.96,4.805899999999999,0.4402,0.3807999999999999,0.9649,0.0378,0.0202,-0.0471,-0.071,-0.0441,0.59,0.59,0.3,0.31,0.2377,0.0173,-0.1512,,0.47,2.84,0.0438999999999999,0.0707,0.2127,-0.0075,0.6723,65.31,0.0085,0.002,0,0
EXEL,,,,,11600000000.0,19.3,42.54,-0.0075,966925.0,14.32,0.61,5.05,5.49,11.26,14.14,0.4039999999999999,0.2028,0.1155,0.3152,0.1834,,0.2282,0.3021999999999999,0.2776,3.5,3.44,0.09,0.09,0.9678,0.3543,0.2799,,0.28,1.71,0.0519,0.1199,0.2763,-0.1288,1.1132,59.47,-0.0054,-0.0016,0,0
